epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,259.34,1.41736,0.94383,1.12543,0.79593,0.71149,0.77794,0.39344,1.76571,1.05608,1.3501,0.000848969,0.000848969,0.000848969
43,265.688,1.39158,0.91953,1.16309,0.6526,0.69123,0.71101,0.35705,1.74313,1.37012,1.31622,0.000834822,0.000834822,0.000834822
44,271.48,1.40948,0.84523,1.1582,0.74496,0.7309,0.7694,0.3855,1.81703,1.03403,1.33851,0.000820675,0.000820675,0.000820675
45,277.82,1.44412,0.85548,1.14923,0.78202,0.83099,0.84195,0.43577,1.72942,0.92674,1.28549,0.000806528,0.000806528,0.000806528
46,284.018,1.47999,0.80067,1.16292,0.88998,0.81029,0.86285,0.457,1.72152,0.94517,1.29006,0.00079238,0.00079238,0.00079238
47,290.307,1.42478,0.91569,1.17438,0.86306,0.80452,0.83938,0.4287,1.7634,0.98205,1.30293,0.000778233,0.000778233,0.000778233
48,296.633,1.42546,0.8878,1.18405,0.83289,0.80835,0.81969,0.41609,1.65308,0.96041,1.24165,0.000764086,0.000764086,0.000764086
49,302.714,1.42747,0.84884,1.16484,0.8299,0.77748,0.81792,0.40394,1.70098,0.94187,1.28312,0.000749939,0.000749939,0.000749939
50,308.852,1.37677,0.96101,1.14604,0.83372,0.79428,0.84849,0.39628,1.75767,0.96662,1.30371,0.000735792,0.000735792,0.000735792
51,314.76,1.37773,0.8549,1.11625,0.75253,0.79172,0.82538,0.39979,1.67326,1.10544,1.26267,0.000721645,0.000721645,0.000721645
52,321.026,1.34925,0.86377,1.13543,0.84253,0.72899,0.81299,0.40352,1.69266,1.0368,1.27621,0.000707498,0.000707498,0.000707498
53,326.77,1.33903,0.77826,1.11905,0.89238,0.7917,0.84279,0.43227,1.68384,0.939,1.27318,0.000693351,0.000693351,0.000693351
54,333.119,1.34683,0.83979,1.14811,0.7056,0.83713,0.83571,0.42151,1.68629,0.96444,1.27244,0.000679204,0.000679204,0.000679204
55,338.954,1.33687,0.88055,1.12135,0.78449,0.73447,0.79669,0.39093,1.75329,1.00591,1.30199,0.000665057,0.000665057,0.000665057
56,345.038,1.34634,0.81941,1.13717,0.72597,0.82136,0.80309,0.37768,1.70668,1.04836,1.28859,0.000650909,0.000650909,0.000650909
57,350.758,1.30407,0.76302,1.10478,0.80122,0.88979,0.84057,0.40253,1.71788,0.97491,1.2883,0.000636762,0.000636762,0.000636762
58,357.073,1.29226,0.76521,1.08154,0.7879,0.84648,0.85607,0.42008,1.68328,0.94262,1.25994,0.000622615,0.000622615,0.000622615
59,362.985,1.29932,0.77229,1.09364,0.83946,0.87294,0.87109,0.44085,1.70328,0.87937,1.27707,0.000608468,0.000608468,0.000608468
60,369.01,1.23304,0.77458,1.10708,0.89712,0.84643,0.87224,0.46063,1.73012,0.861,1.29829,0.000594321,0.000594321,0.000594321
61,375.262,1.24501,0.69364,1.07,0.74059,0.74449,0.77744,0.40069,1.71332,1.0557,1.32379,0.000580174,0.000580174,0.000580174
62,381.335,1.2555,0.74626,1.08497,0.75382,0.70143,0.76142,0.37786,1.73602,1.12422,1.37022,0.000566027,0.000566027,0.000566027
63,387.635,1.24049,0.7142,1.06755,0.76763,0.67181,0.77997,0.36686,1.7501,1.08321,1.37836,0.00055188,0.00055188,0.00055188
64,393.528,1.28142,0.70146,1.12824,0.71205,0.84837,0.82173,0.40319,1.69326,0.99437,1.32888,0.000537733,0.000537733,0.000537733
